id;account_number;product_id;opening_date;status;balance
1;PCI input;Refined Frozen Chair Ports Rwanda;2020-04-23T03:17:39;20878;65651
2;product visualize engineer;Handmade Steel Sausages Chief access;2020-04-23T07:07:19;18396;80955
3;explicit;connecting visualize Implementation;2020-04-23T13:17:49;44217;9672
4;Computer Officer;Florida;2020-04-23T09:29:08;80685;25159
5;De-engineered;Awesome;2020-04-22T16:33:42;27433;7012
6;Books Savings Account Coordinator;azure protocol local;2020-04-23T03:30:15;15126;39528
7;Mobility;implement;2020-04-23T14:10:10;92007;4852
8;dedicated;schemas SSL;2020-04-23T11:08:02;8089;49515
9;USB Bike maroon;Fantastic;2020-04-22T22:01:52;66242;70490
10;Generic Frozen Soap virtual Tasty Steel Towels;quantifying lime;2020-04-23T03:40:40;78700;43430
